Order ID,Branch Location,Branch Name,Business Name,Is Deleted,Item ID,Item Name,Item Price,Order Item Number,Item Status,Packed Quantity,Quantity,Total Price,Order Date,Order Region,Order Local Area,Recency,Frequency,Monetary_Sum,Avg_Quantity,Avg_Purchase_Value,Loyalty_Index,Value_Tier,Engagement_Score,Cluster
4326,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,MLEIPVIKW8EEYFYTQ4LZ1T0Q,Delivered,2,2,18900.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4325,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a1f,LOYA PLAIN 14G X 200,10450.0,MLUANHCXMIIKUSYTJCNS3GIQ,Delivered,30,30,313500.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4325,Lagos,Deeski Store Limited,Deeski Store Limited,False,6098fc342498ec1dd3804e8f,Nestle Milo - 20g,9170.0,MLWQOU04LAUUOJEO38ZPH15W,Delivered,10,10,91700.0,2021-05-26,Lagos,Oshodi-Isolo,2,408,78145181.14,27.387254901960784,191532.30671568628,78145181.14,High,371.3776044637496,0
4325,Lagos,Renuzi Ventures,Renuzi Ventures,False,6062d34069c51b4e80e6f2e4,Close Up Ever Fresh Red Hot 140g,14000.0,MLQ3O5KL4LD0UXMKK96V96UW,Delivered,20,20,280000.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4324,Lagos,Renuzi Ventures,Renuzi Ventures,False,6017191e09e73f2f7a598bd8,Knorr Chicken BTF 17x50x8g ,9450.0,MLBK7VFFM7EUM3BS99IHTLPW,Delivered,2,2,18900.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4323,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a32,ONGA POWDER 6G STEW,2750.0,MLEX5ZDLZR2EW9MT5KUSUPSW,Cancelled,6,6,16500.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4322,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a32,ONGA POWDER 6G STEW,2750.0,MLB40YOK604KA1B3VGUAS6YW,Cancelled,9,9,24750.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4321,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a31,ONGA POWDER 6G CLASSIC,2750.0,MLRIG5LEB4R0KN4ECTINB0UA,Cancelled,5,5,13750.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4320,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a31,ONGA POWDER 6G CLASSIC,2750.0,MLHN8ESIKZVUC3MUEYWFM6QW,Cancelled,10,10,27500.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4319,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a31,ONGA POWDER 6G CLASSIC,2750.0,MLGGYMEWB5W0UYY3SBNEFR5W,Cancelled,10,10,27500.0,2021-05-26,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
